English,Hebrew
a bit of,קצת
abandon,לנטוש
abbreviated,מקוצר
abbreviation,"קיצור, ראשי תיבות"
abdicate,"להתפטר, לוותר על כס המלוכה"
abduct,לחטוף (מישהו)
abduction,חטיפה
ability,"יכולת, כשרון"
abolish,"לבטל, לשים קץ ל-"
abolition,"ביטול, חיסול"
abort,"לבטל, להפסיק"
abound,"להיות שופע, להיות משופע ב-"
about to,עומד לעשות משהו
abridge,"לקצר, לצמצם"
abroad,"בחו""ל"
abrupt,פתאומי
abruptly,"באופן פתאומי, בגסות"
absence,"היעדרות; העדר, חוסר"
absent,נעדר
absentee,נעדר
absentminded,"מפוזר, פזור דעת"
absolute,"אבסולוטי, מוחלט"
absolutely,בהחלט
absorb,"לספוג, לקלוט"
absorption,"ספיגה, קליטה"
abstain,"להתנזר, להימנע מ-"
abstinence,התנזרות
abstract,"אבסטרקטי, מופשט, לא מוחשי"
absurd,"אבסורדי, מגוחך, לא הגיוני"
abundance,שפע
abundant,"שופע, בשפע"
abuse,להשתמש/לנצל לרעה; שימוש/ניצול לרעה; התעללות
accelerate,להאיץ
accent,מבטא
accept,"לקבל, להסכים"
acceptable,"מקובל, מוסכם"
acceptance,קבלה; הסכמה
accepted,"מוסכם, מקובל"
access,"גישה, כניסה"
accessible,נגיש
accessory,אביזר; -עזר; מסייע (לדבר עבירה)
accident,תאונה; תקרית
accidental,מקרי
acclaim,"לשבח, להריע, להלל; תשואות, שבחים"
acclaimed,"ידוע, מפורסם, עטור שבחים"
accommodate,"לאכסן, לארח; להתחשב ב-, להתאים ל-"
accommodating,"מוכן לעזור, (אדם) נוח"
accommodation,מקום מגורים
accompaniment,ליווי
accompany,ללוות
accomplice,שותף לדבר עבירה
accomplish,"לבצע, להביא לידי מימוש, להשלים"
accomplishment,"הישג; ביצוע, השלמה"
accord,הסכם; הסכמה
according to,"בהתאם ל-, לפי"
accordingly,בהתאם לכך
account,"למסור דין וחשבון; להסביר; חשבון; דיווח, דו""ח"
accountable,אחראי
accountant,רואה חשבון
accumulate,לצבור; להצטבר
accuracy,דיוק
accurate,מדויק
accusation,האשמה
accuse,להאשים
accustom,להרגיל
accustomed to,"רגיל ל-, מורגל ב-"
ache,כאב; לכאוב
achieve,להשיג
achievement,הישג
acid,חומצה
acknowledge,"להכיר ב-, להודות ב-"
acquaint,להתוודע אל
acquaintance,"היכרות, ידיעה; מכּר"
acquire,"לרכוש, להשיג"
acquisition,"רכישה, השגה; נכס"
acquit,לזכות
acquittal,זיכוי
act,פעולה; מעשה; לפעול; לשחק תפקיד
action,פעולה
activate,להפעיל
active,פעיל
activity,פעילות
actual,ממשי
actually,"למעשה, בעצם"
adapt,"להסתגל; לסגל, להתאים"
